Config: Config(web3=<web3.main.Web3 object at 0x7fadcc7fddf0>, rpc_url='http://localhost:4444', holding_token=Token(contract=<web3._utils.datatypes.Contract object at 0x7fadcc795f40>, address='0x2e6B1d146064613E8f521Eb3c6e65070af964EbB', chain_id=30, name='Sovryn Mynt', symbol='MYNT', decimals=18), holding_token_liquidity_pool_address='0x3a18e61D9C9f1546DeA013478DD653c793098f17', reward_token=Token(contract=<web3._utils.datatypes.Contract object at 0x7fadcc795f40>, address='0x2e6B1d146064613E8f521Eb3c6e65070af964EbB', chain_id=30, name='Sovryn Mynt', symbol='MYNT', decimals=18), rewarder_account_address='0x98B94f8aC1246609a7F0F8A5ec72F5aeb789bA4e', total_reward_amount_wei=1111112053928883000000000, min_reward_wei=10000000000000000000, snapshot_block_number=3976082, first_scanned_block_number=3831000, liquidity_mining_address='0xf730af26e87D9F55E46A6C447ED2235C385E55e0')
Rewarder account 0x98B94f8aC1246609a7F0F8A5ec72F5aeb789bA4e
Reward token balance:   1111112.053884732000000000 MYNT
Next nonce: 1

Preparing to send Airdrop:
To address                                                 Reward in MYNT     TX Nonce TX Hash
0x9c6EC880008D86AB1a574A0Ea809A9E5952915Be      101446.799225179608726988            1 
0xA0044fef43cD6836D2c6f36f1a9d45B31Fc4b528       70454.525441429363873936            2 
0xd1482bA209A6a8Ddb501D67CBE67EE9Ccc1C5DBE       30636.648276198393551058            3 
0xfD2224862E7f6d1fFB154a811be685bb6c57122D       27122.633664930455785736            4 
0xE3F5622739cBde5C3534627dD0bE861a51614452       25869.111599570172158596            5 
0xD8E1CeB444F5b79B0A746500913032D7E287D109       22099.293444100542871607            6 
0x8D08913935063D5dD6058856FBf96C537A5C51B4       20172.868324205314461814            7 
0x64f6a84a4991E0B85446a53414f9aCf9ba571f0D       17567.988900590921670251            8 
0xDBd35E8484A8986Cb0DBd9E77eA981a811c3cbf9       17520.587075113669690887            9 
0x5f7c5220C0bf8889838897F2902D25e6d3B0FcbD       15753.704410488982108898           10 
0x3B12C66896Ee7c34628B0c18b347aA4dA5d5F74A       13802.029899262170521385           11 
0xd67ab2338f3bf0B7c10172d5Fb78129ad0d19E8f       12843.319557996709785189           12 
0x3bF3966D739EbB2fFce0F9F6175c96eabb41566f       10747.539330157100557809           13 
0x5B395b4253915263E9810d4ED80e08b261622c28        9188.332845079127226996           14 
0x65Eac40bac865E493F0498CdDCB42c66aF13d3b0        8869.714144407439590715           15 
0xA838B95958aADF4A4a5641d383C1Af3Bfa03F3b9        7835.194650619148320761           16 
0x1bF28F401D4969309A398DF1AF1077F8096B51E3        7760.733479871051647578           17 
0xF83A28D52c1b8dE089943e467B5c8B066A32Bf3f        7760.733479871051647578           18 
0xcc8b42551400236F5694eb49AD469Eb12cF3d593        6066.533505622807547151           19 
0x1d283425c8339C5d34B41c407a582a0c90E5DD5E        5736.834427174197813903           20 
0xBD927ECBCeB7918589d9421BdEd79f9E557C5316        5486.501900169037098862           21 
0x4C3B74A506951577949c2eeCA13Df78710a446dE        5193.137201331472534288           22 
0xc70BB48A5Cf242220041B7E261fE2FD6de71CB19        5173.822319914034431719           23 
0x3Adb7d2BaC87e08A8E7De5Fb3E11670d94854D37        4793.848404479494092823           24 
0x8B58aA73fCbf0F47A74d99f5829F07AF5c7eA8eD        4626.833399851958671538           25 
0xf0ae85D0a6c9CC127ba1D624ad349df4BCD85661        4343.266901972924843346           26 
0x1ac17A302E4DcD39eF3B6d3fF57c1fCEbE70703D        4139.212915361997349443           27 
0x115C089ECE22d06552288B3278D7288f85Eb7826        3919.013176632403676287           28 
0x8aeB5835d92cfE93EDe77faD7C93CB17b2d9231b        3774.196093071752910669           29 
