to_address,reward_amount_wei,transaction_nonce,transaction_hash
0x9c6EC880008D86AB1a574A0Ea809A9E5952915Be,101446799225179608726988,1,
0xA0044fef43cD6836D2c6f36f1a9d45B31Fc4b528,70454525441429363873936,2,
0xd1482bA209A6a8Ddb501D67CBE67EE9Ccc1C5DBE,30636648276198393551058,3,
0xfD2224862E7f6d1fFB154a811be685bb6c57122D,27122633664930455785736,4,
0xE3F5622739cBde5C3534627dD0bE861a51614452,25869111599570172158596,5,
0xD8E1CeB444F5b79B0A746500913032D7E287D109,22099293444100542871607,6,
0x8D08913935063D5dD6058856FBf96C537A5C51B4,20172868324205314461814,7,
0x64f6a84a4991E0B85446a53414f9aCf9ba571f0D,17567988900590921670251,8,
0xDBd35E8484A8986Cb0DBd9E77eA981a811c3cbf9,17520587075113669690887,9,
0x5f7c5220C0bf8889838897F2902D25e6d3B0FcbD,15753704410488982108898,10,
0x3B12C66896Ee7c34628B0c18b347aA4dA5d5F74A,13802029899262170521385,11,
0xd67ab2338f3bf0B7c10172d5Fb78129ad0d19E8f,12843319557996709785189,12,
0x3bF3966D739EbB2fFce0F9F6175c96eabb41566f,10747539330157100557809,13,
0x5B395b4253915263E9810d4ED80e08b261622c28,9188332845079127226996,14,
0x65Eac40bac865E493F0498CdDCB42c66aF13d3b0,8869714144407439590715,15,
0xA838B95958aADF4A4a5641d383C1Af3Bfa03F3b9,7835194650619148320761,16,
0x1bF28F401D4969309A398DF1AF1077F8096B51E3,7760733479871051647578,17,
0xF83A28D52c1b8dE089943e467B5c8B066A32Bf3f,7760733479871051647578,18,
0xcc8b42551400236F5694eb49AD469Eb12cF3d593,6066533505622807547151,19,
0x1d283425c8339C5d34B41c407a582a0c90E5DD5E,5736834427174197813903,20,
0xBD927ECBCeB7918589d9421BdEd79f9E557C5316,5486501900169037098862,21,
0x4C3B74A506951577949c2eeCA13Df78710a446dE,5193137201331472534288,22,
0xc70BB48A5Cf242220041B7E261fE2FD6de71CB19,5173822319914034431719,23,
0x3Adb7d2BaC87e08A8E7De5Fb3E11670d94854D37,4793848404479494092823,24,
0x8B58aA73fCbf0F47A74d99f5829F07AF5c7eA8eD,4626833399851958671538,25,
0xf0ae85D0a6c9CC127ba1D624ad349df4BCD85661,4343266901972924843346,26,
0x1ac17A302E4DcD39eF3B6d3fF57c1fCEbE70703D,4139212915361997349443,27,
0x115C089ECE22d06552288B3278D7288f85Eb7826,3919013176632403676287,28,
0x8aeB5835d92cfE93EDe77faD7C93CB17b2d9231b,3774196093071752910669,29,
0x345FC578Bf09985912Ca35bD8dc14db7ced43c4D,3743350984291392677326,30,
0xdc161C454eA8782ccD60DE7Af5D618175F52CA69,3615710079167201323433,31,
0xd85E2711Ea7A20e533c65b26d7Af156EBb6e2656,3446242570312750153593,32,
0xBaD588ECF79be361c07861856d849D062362f104,3438457524178012574582,33,
0x3Cf9A21987aADA929A2A9513e98aB81335f82648,3365272908645836127608,34,
0xe481E042fe482477Ca1D0228F03aE8B8af440Dac,3353868990416530288586,35,
0xb8C78a31B3204EA34e4C27bB227ea47785aaFd09,3345354508912212942710,36,
0x756Df16077E0BeDceE99fA216B4Fb05CEa23FD4B,3231618721970102914742,37,
0xFE4B04ADe5478F3B649614221CDCc43EE31fA27e,3207653952928849226268,38,
0xd86076A23c589B5288a65F570BCfD925C972F266,3031886879578863355923,39,
0x60721C2Bc3788010ba8F1EBccB43322dFBfE487F,3023209254866910640295,40,
0xCc0e69E2d8E7B88165281bD2736770E1F4e2A52D,3021476302542941340617,41,
0x48A28813a018d394EeFef10b7E9c5C2B55D1e645,3007903830530259745877,42,
